Galaxy	Diff	Galaxy	Diff	Galaxy	Diff	Galaxy	Diff	Galaxy	Diff	Galaxy	Diff	Galaxy	Diff
0	0.310	43	1.330	86	-0.310	129	0.260	172	0.420	215	-0.020	258	0.170
1	-0.390	44	-0.230	87	-0.180	130	-0.090	173	0.070	216	-0.570	259	-0.470
2	-0.280	45	-0.120	88	-0.380	131	0.020	174	-0.310	217	-0.230	260	-0.480
3	0.420	46	-0.390	89	-0.240	132	-0.090	175	-0.120	218	0.170	261	-0.230
4	-0.180	47	0.660	90	0.010	133	-0.450	176	-0.150	219	0.070	262	-0.290
5	0.020	48	0.090	91	0.040	134	-0.180	177	-0.170	220	-0.110	263	-0.170
6	-0.030	49	0.500	92	-0.170	135	-0.550	178	-0.010	221	0.040	264	0.020
7	-0.360	50	0.040	93	1.800	136	0.330	179	-0.090	222	0.130	265	-0.440
8	0.440	51	-0.180	94	-0.300	137	0.750	180	-0.030	223	-0.520	266	-0.180
9	-0.380	52	0.560	95	-0.140	138	0.590	181	0.130	224	0.110	267	0.310
10	0.510	53	-0.030	96	0.570	139	-0.160	182	-0.720	225	0.940	268	-0.180
11	-0.190	54	-0.070	97	-0.280	140	-0.560	183	0.340	226	-0.370	269	0.050
12	-0.200	55	0.470	98	-0.030	141	0.270	184	-0.680	227	-0.450	270	-0.760
13	-0.060	56	-0.490	99	-0.270	142	-0.060	185	-0.600	228	-0.050	271	-0.310
14	0.270	57	-0.230	100	-0.180	143	-0.070	186	0.110	229	0.890	272	-0.260
15	-0.600	58	0.070	101	0.310	144	1.330	187	-0.310	230	0.250	273	0.500
16	-0.120	59	-0.180	102	-0.390	145	-0.230	188	-0.180	231	-0.250	274	-0.250
17	-0.520	60	-0.090	103	-0.280	146	-0.120	189	-0.380	232	0.120	275	0.500
18	0.910	61	-0.300	104	0.420	147	-0.390	190	-0.240	233	-0.290	276	-0.110
19	-0.080	62	-0.170	105	-0.180	148	0.660	191	0.010	234	-0.030	277	0.240
20	0.180	63	0.270	106	0.020	149	0.090	192	0.040	235	-0.120	278	-0.370
21	-0.320	64	-0.440	107	-0.030	150	0.500	193	-0.170	236	-0.360	279	-0.380
22	0.140	65	-0.280	108	-0.360	151	0.040	194	1.800	237	-0.120	280	-0.310
23	0.460	66	-0.480	109	0.440	152	-0.180	195	-0.300	238	0.060	281	0.290
24	-0.130	67	0.120	110	-0.380	153	0.560	196	-0.140	239	0.150	282	0.730
25	-0.230	68	-0.270	111	0.510	154	-0.030	197	0.570	240	0.090	283	-0.270
26	-0.000	69	-0.670	112	-0.190	155	-0.070	198	-0.280	241	1.140	284	-0.380
27	0.010	70	0.910	113	-0.200	156	0.470	199	-0.030	242	0.110	285	0.930
28	0.260	71	0.420	114	-0.060	157	-0.490	200	-0.270	243	-0.250	286	0.480
29	-0.090	72	0.070	115	0.270	158	-0.230	201	-0.180	244	0.750	287	-0.180
30	0.020	73	-0.310	116	-0.600	159	0.070	202	-0.230	245	-0.070	288	0.150
31	-0.090	74	-0.120	117	-0.120	160	-0.180	203	-0.140	246	0.130	289	0.660
32	-0.450	75	-0.150	118	-0.520	161	-0.090	204	0.520	247	-0.410	290	0.670
33	-0.180	76	-0.170	119	0.910	162	-0.300	205	-0.580	248	-0.130	291	-0.370
34	-0.550	77	-0.010	120	-0.080	163	-0.170	206	-0.120	249	0.030	292	0.600
35	0.330	78	-0.090	121	0.180	164	0.270	207	-0.760	250	0.380	293	0.640
36	0.750	79	-0.030	122	-0.320	165	-0.440	208	-0.260	251	-0.240	294	0.600
37	0.590	80	0.130	123	0.140	166	-0.280	209	-0.480	252	-0.240	295	0.340
38	-0.160	81	-0.720	124	0.460	167	-0.480	210	0.030	253	0.900	296	0.030
39	-0.560	82	0.340	125	-0.130	168	0.120	211	0.790	254	-0.020	297	-0.360
40	0.270	83	-0.680	126	-0.230	169	-0.270	212	-0.430	255	-0.500	298	0.480
41	-0.060	84	-0.600	127	-0.000	170	-0.670	213	-0.720	256	0.070	299	0.400
42	-0.070	85	0.110	128	0.010	171	0.910	214	-0.480	257	-0.020	300	1.000
